household_key,category_total,quantity_average,quantity_min,quantity_max,sales_average,sales_total,sales_min,sales_max,coupon_total,coupon_average,coupon_min,coupon_max,num_national_average,num_national_min,num_national_max,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,PAlive,clv,cluster
58,32,51.19047619047619,1,371,117.2320634920635,7385.620000000001,553.1600000000008,1.77,-54.75,-0.8690476190476191,-7.5,0,36.523809523809526,1,296,25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,1.0000000000002132,7313.211960940199,1
67,34,62.06153846153846,1,282,131.86538461538464,8571.250000000002,484.2000000000005,2.98,-212.15,-3.2638461538461536,-36.68,0,32.87692307692308,0,168,45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+,0.999822865608928,8339.496965570557,1
71,31,17.32075471698113,1,99,62.19415094339623,3296.2900000000004,1238.3900000000003,0.98,-39.75,-0.75,-28,0,9.056603773584905,0,48,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,1.0000000000000426,3263.973431386462,2
74,28,28.09433962264151,1,201,38.54509433962264,2042.89,135.71,1,-19.25,-0.3632075471698113,-10,0,11.81132075471698,0,83,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,0.10910626282281817,22.453943047767286,2
77,32,46.80952380952381,1,274,97.65968253968254,6152.56,424.6,3,-26.35,-0.41825396825396827,-4,0,23.603174603174605,0,120,35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+,0.9999342082997332,6052.42087828249,4
78,30,30.92,1,241,50.1028,2505.14,243.48999999999992,1.19,0,0,0,0,13.9,0,124,55-64,U,25-34K,Unknown,Single Male,1,None/Unknown,0.9998237370976288,2437.6137170587144,2
80,34,25.50793650793651,1,125,42.61968253968254,2685.04,174.57,0.99,-22.8,-0.3619047619047619,-6.97,0,11.777777777777779,0,84,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9961114445433992,1914.3215338264429,2
85,33,34.90163934426229,1,193,71.75344262295083,4376.96,319.42,1,-4.05,-0.06639344262295083,-2.5,0,18.950819672131146,0,97,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,0.9999256299959932,4302.054248282757,4
86,32,23.45,2,115,66.34316666666668,3980.59,431.5,1.76,-2.5,-0.041666666666666664,-2.5,0,14.583333333333334,0,58,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,0.9913933672656516,2118.3653507423173,2
97,28,37.57142857142857,1,205,78.73749999999998,4409.299999999999,251.21000000000004,1,-0.35000000000000003,-0.00625,-0.35000000000000003,0,22.410714285714285,0,122,45-54,U,75-99K,Unknown,Single Female,1,None/Unknown,0.9993879825213241,4114.270992674824,4
98,32,32.80357142857143,1,261,46.04696428571428,2578.63,456.0199999999998,1.49,-2,-0.03571428571428571,-2,0,18.5,0,155,35-44,U,35-49K,Unknown,1 Adult Kids,2,1,0.9999309172762797,2535.831101784892,2
101,31,43.70909090909091,1,574,93.05945454545454,5118.27,1513.66,0,-50.44,-0.9170909090909091,-42.5,0,12.727272727272727,0,59,45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2,0.9997017749796228,4921.324667430199,4
104,32,55.96666666666667,1,319,104.89366666666666,6293.619999999999,790.8399999999989,1.2,-164.96,-2.7493333333333334,-59.230000000000004,0,34.53333333333333,1,198,35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,0.9999999999999716,6231.917843119536,4
105,33,49.193548387096776,1,201,74.65822580645163,4628.81,489.61000000000007,0.99,-20.630000000000003,-0.332741935483871,-5.58,0,26.451612903225808,0,140,25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2,0.9999320057278638,4552.4752854586295,4
109,32,25.716666666666665,1,180,57.72383333333334,3463.4300000000003,350.1000000000001,1.25,-1.25,-0.020833333333333332,-0.75,0,16.833333333333332,0,123,25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown,0.9997486693488763,3345.394779111571,2
110,33,27.524590163934427,1,112,48.80836065573771,2977.31,172.58999999999992,0.1,-1.25,-0.020491803278688523,-0.75,0,12.655737704918034,0,70,25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown,0.9999999999999432,2948.120686257749,2
113,34,80.5909090909091,5,494,193.11454545454552,12745.560000000005,863.1600000000005,10.32,-81.88,-1.2406060606060607,-23.580000000000002,0,49.43939393939394,0,321,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,0.9998264498334913,12405.309181999022,3
114,32,22.887096774193548,1,120,51.273387096774194,3178.95,195.31000000000006,1.5,-1.4,-0.02258064516129032,-1,0,12.693548387096774,0,56,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9997753623842524,3078.626296428635,2
117,33,25.114754098360656,1,138,40.80983606557377,2489.4,185.9499999999999,0.49,-12.3,-0.20163934426229507,-3,0,15.688524590163935,0,122,65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown,1.000000000000071,2464.9941176645716,2
118,32,29.317460317460316,1,165,63.88444444444445,4024.7200000000003,263.62,0.5,-1.5,-0.023809523809523808,-1,0,16.714285714285715,0,122,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,0.9996634964933356,3855.522283927877,4
119,32,15.035714285714286,1,90,46.174464285714286,2585.77,228.04999999999995,0.99,-7.24,-0.12928571428571428,-5.99,0,11.607142857142858,0,61,45-54,U,125-149K,Unknown,Single Male,1,None/Unknown,0.9998617929050894,2525.514905895752,2
121,30,18.603448275862068,1,76,37.225517241379315,2159.08,215.29000000000002,1.5,-4.5,-0.07758620689655173,-2.5,0,9.586206896551724,0,39,45-54,U,25-34K,Unknown,2 Adults Kids,3,1,0.7891765196363679,96.81545393175976,2
123,27,29.122448979591837,1,100,60.68061224489796,2973.35,322.34000000000015,1,-4,-0.08163265306122448,-2,0,14.938775510204081,0,93,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.968981914634253,717.780823641889,2
127,31,37.8421052631579,1,224,67.07929824561404,3823.5200000000004,364.1800000000002,2.97,-94.86,-1.6642105263157896,-19.509999999999998,0,17.12280701754386,1,120,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,1.0000000000001563,3786.034509863102,4
131,34,40.59701492537314,1,226,89.86119402985075,6020.700000000001,504.96000000000004,1.58,-71.17,-1.0622388059701493,-39.370000000000005,0,19.73134328358209,0,127,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,0.9998197713126831,5856.129280120327,4
133,33,27.639344262295083,1,232,62.19180327868853,3793.7000000000003,394.98000000000025,2.08,-31.28,-0.5127868852459017,-17.98,0,15.295081967213115,1,149,45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown,0.9995670469370864,3600.6170449462634,4
134,33,38.65573770491803,2,209,89.05885245901639,5432.59,449.3300000000001,3.89,-22.9,-0.37540983606557377,-11.25,0,18.508196721311474,1,87,55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown,0.9998597716978475,5304.939054068017,4
136,32,25.16949152542373,1,136,47.49694915254237,2802.3199999999997,360.7599999999999,0.99,-2.5,-0.0423728813559322,-2.5,0,14.491525423728813,0,84,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,0.9966767903477594,2082.7160623740083,2
139,30,28.203703703703702,0,196,51.245740740740736,2767.27,446.04999999999995,0,-33.949999999999996,-0.6287037037037037,-16.029999999999998,0,14.685185185185185,0,109,35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown,0.9999327849119691,2721.844996853791,2
149,34,55.09375,1,255,141.22421875,9038.35,500.6099999999999,1.44,-4.5,-0.0703125,-4.5,0,39.9375,0,177,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.0012432792112075663,88.72048672441053,4
155,29,16.166666666666668,1,94,37.52203703703704,2026.19,160.66000000000003,1.67,-5.45,-0.10092592592592592,-2.4,0,10.092592592592593,0,52,35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,0.9995022850462606,1911.202010150014,2
157,30,20.75438596491228,1,114,47.52385964912281,2708.86,231.95000000000007,0.5,-0.25,-0.0043859649122807015,-0.25,0,11.771929824561404,0,60,19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9998450836402203,2641.3832019762617,2
158,24,14.348837209302326,0,71,40.57209302325582,1744.6000000000001,546.64,0,-125.19,-2.9113953488372095,-33.04,0,9.534883720930232,0,51,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,0.9985936709678758,1514.506616077912,2
159,29,22.653846153846153,1,124,39.901923076923076,2074.9,260.5100000000001,1,-2,-0.038461538461538464,-2,0,9.807692307692308,0,46,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9976260004737759,1660.3829980622286,2
161,30,53.14545454545455,1,690,106.42363636363636,5853.299999999999,914.8499999999996,0.99,-3.34,-0.06072727272727273,-1.79,0,22.418181818181818,0,207,19-24,A,75-99K,Unknown,2 Adults Kids,3,1,0.9999235866004388,5751.962008758726,4
164,33,36.01587301587302,1,178,64.96412698412698,4092.74,297.8,1,-26.880000000000003,-0.4266666666666667,-10.5,0,19.952380952380953,0,130,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0.999747106416404,3952.654989536937,4
165,29,24.442307692307693,0,104,44.65711538461539,2322.17,306.96000000000004,-0.75,-14.04,-0.27,-2.89,0,11.23076923076923,0,64,55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9999295795320078,2283.3243505168366,2
166,32,21.526315789473685,1,171,53.678771929824556,3059.69,392.2799999999998,1,0,0,0,0,10.24561403508772,0,55,25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,0.9994892411129119,2882.468403815739,2
170,33,15.737704918032787,1,115,32.77704918032787,1999.4,193.64000000000001,0.89,-3.45,-0.05655737704918033,-2,0,8.836065573770492,0,77,25-34,A,100-124K,Homeowner,2 Adults Kids,4,2,0.9978672831595645,1631.7845914094737,2
178,31,23.5,1,191,52.529210526315794,1996.1100000000001,494.72999999999996,1,-32.36,-0.851578947368421,-21.11,0,14.5,0,106,25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+,1.0000000000000426,1976.540294126072,2
184,29,39.472727272727276,1,319,104.03254545454547,5721.790000000001,900.6800000000002,1,-27.72,-0.504,-14.58,0,18.4,0,97,45-54,U,25-34K,Unknown,Single Male,1,None/Unknown,1.0000000000000853,5665.694019656147,4
192,29,27.236363636363638,1,91,68.41418181818182,3762.7799999999997,293.5899999999999,2.49,-14.3,-0.26,-3,0,18.945454545454545,0,67,45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown,0.9999326074340484,3700.9483593608416,4
193,31,21.833333333333332,1,93,55.97944444444445,3022.89,240.79000000000002,2.39,-5,-0.09259259259259259,-2,0,12.666666666666666,0,46,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9952537237987645,2029.8370806852447,2
198,33,67.921875,3,292,136.57250000000002,8740.640000000001,598.6600000000002,4.5,-22.740000000000002,-0.35531250000000003,-4.5,0,36.96875,1,198,35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,0.9998124633446287,8495.623371737396,1
201,26,25.655172413793103,1,118,49.538275862068964,1436.6100000000001,277.59000000000003,1.67,-5,-0.1724137931034483,-5,0,10.482758620689655,0,50,45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+,0.9994114072858292,1343.4510389010607,2
208,29,30.964285714285715,1,130,64.66571428571429,3621.28,353.25000000000006,-3.01,-143.59,-2.564107142857143,-24.500000000000004,0,21.589285714285715,0,88,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9980749435986644,3006.9268724803405,2
209,31,43.152542372881356,1,206,94.87169491525424,5597.43,374.72999999999996,1.29,-114.25,-1.9364406779661016,-50.16,0,15.067796610169491,0,54,45-54,U,25-34K,Homeowner,2 Adults Kids,3,1,0.9999280893557065,5502.980944766831,4
211,28,28.9375,1,146,46.75125,2244.06,217.4700000000001,1.79,0,0,0,0,16.875,0,79,65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,0.9999304474274796,2206.7111679109353,2
212,33,20.76923076923077,1,89,45.38123076923077,2949.7799999999997,186.86,1.49,-5.49,-0.08446153846153846,-2.5,0,14.569230769230769,1,73,35-44,U,Under 15K,Unknown,Single Female,1,None/Unknown,0.9971550149403846,2273.9307011095502,2
214,30,21.54385964912281,0,143,46.42298245614035,2646.11,236.88,-7,-11.8,-0.20701754385964913,-7,0,16.17543859649123,1,119,55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9992307634258594,2433.0115947026848,2
216,31,19.036363636363635,1,113,47.62381818181819,2619.31,284.01,1.99,-5.19,-0.09436363636363637,-1.8900000000000001,0,11.418181818181818,0,66,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,1,2593.630490196076,2
218,32,39.87096774193548,2,150,111.07629032258068,6886.730000000002,403.5400000000007,4.68,-3.4,-0.054838709677419356,-3,0,25.548387096774192,1,142,45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,1.000000000000071,6819.213039264137,1
219,34,64.01515151515152,1,536,173.3256060606061,11439.490000000003,1198.400000000001,1.75,-4.13,-0.06257575757575758,-1.58,0,40.696969696969695,0,393,55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9998248671732913,11132.373729335315,3
220,30,22.037735849056602,1,307,37.290754716981134,1976.41,145.45999999999995,0.5,-3.8,-0.07169811320754717,-2.5,0,8.150943396226415,0,37,45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9810815541692451,676.742257459506,2
221,27,35.244897959183675,0,351,56.27142857142857,2757.3,342.61999999999983,-5.95,-14.49,-0.2957142857142857,-7.9399999999999995,0,13.53061224489796,0,66,65+,U,15-24K,Unknown,Unknown,1,None/Unknown,0.996984657695644,2097.7301888902753,2
222,30,48.892857142857146,1,323,96.22875,5388.81,422.0800000000004,1.5,-4.5,-0.08035714285714286,-3,0,17.589285714285715,0,161,35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0.999849777392716,5257.006408492499,4
230,32,37.145161290322584,1,190,66.54080645161291,4125.530000000001,345.3600000000002,1.99,-24.69,-0.39822580645161293,-7.99,0,22.274193548387096,0,92,25-34,U,25-34K,Unknown,Single Female,1,None/Unknown,1,4085.0836274509775,4
232,33,94.015625,1,408,167.009375,10688.6,857.3199999999998,1,-76.12,-1.189375,-26.8,0,38.65625,1,256,35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,1.0112912316508562e-4,104.80068954560055,4
235,34,65,1,451,172.22890625000002,11022.650000000001,817.7600000000004,3.59,-16.75,-0.26171875,-5.4,0,33.390625,0,193,35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+,0.9997201814323822,10617.487781645574,3
239,32,50.87096774193548,1,286,66.26693548387097,4108.55,395.6199999999999,0.98,-115.37,-1.8608064516129033,-33.370000000000005,0,23.903225806451612,0,206,45-54,U,50-74K,Renter,Unknown,1,None/Unknown,0.999999999999968,4068.2700980262043,4
242,32,38.75409836065574,1,270,85.56393442622951,5219.4000000000005,434.30000000000024,4.59,-12.4,-0.20327868852459016,-2,0,23.18032786885246,0,122,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,1,5168.2294117647025,4
243,33,43.296875,1,453,101.21593750000001,6477.820000000001,881.7200000000006,2.29,-12.6,-0.196875,-3.5,0,25.046875,0,310,65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9999258629490343,6367.108099020187,1
248,32,51.1,2,323,95.185,5711.1,370.20000000000005,0.99,-120.48,-2.008,-26.470000000000002,0,19.866666666666667,1,92,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2,0.9994193296781261,5344.754775922214,4
249,30,23.642857142857142,1,113,48.08,2692.48,253.97,0.5,-57.75,-1.03125,-33,0,11.25,0,54,35-44,A,Under 15K,Renter,Unknown,3,1,0.9990943619392507,2444.683311882922,2
250,30,46.301886792452834,2,299,112.43584905660377,5959.1,557.8600000000001,2.84,-25.75,-0.4858490566037736,-7,0,33.075471698113205,0,133,45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,0.9994551584909321,5595.795295648776,4
253,32,116.640625,3,571,168.90625000000003,10810.000000000002,903.5000000000008,0.7000000000000001,-90.44,-1.413125,-24.000000000000004,0,54.375,0,249,45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,0.9999245764640126,10623.890469329122,3
256,33,56.38095238095238,1,263,149.59063492063495,9424.210000000001,611.7900000000003,0.6900000000000001,-94.71,-1.5033333333333332,-19.9,0,38.904761904761905,1,163,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9999999999999716,9331.815784287197,1
257,30,28.125,1,102,47.49446428571429,2659.69,284.03,0.99,-0.65,-0.011607142857142858,-0.65,0,10.553571428571429,0,33,25-34,U,25-34K,Unknown,1 Adult Kids,3,2,0.99757632273568,2119.835014876555,2
263,34,43.04761904761905,1,233,93.21714285714286,5872.68,444.53999999999996,0.99,-11.08,-0.17587301587301588,-3.83,0,26.825396825396826,0,156,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0.9995733097027718,5577.133817265313,4
264,27,16.770833333333332,1,99,35.943125,1725.27,110.89,1.58,-1,-0.020833333333333332,-1,0,11.895833333333334,1,61,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9890912339136753,817.0523220653531,2
276,32,33.285714285714285,1,138,80.8684126984127,5094.71,673.55,0.68,-1,-0.015873015873015872,-1,0,16.015873015873016,0,78,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,0.9998416645607512,4966.130418625104,4
281,27,15.6875,0,98,30.500833333333333,1464.04,156.76000000000002,0,-7.6,-0.15833333333333333,-3,0,7.208333333333333,0,63,35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,0.9995819707052782,1391.517172447516,2
282,32,25.065573770491802,1,182,61.671311475409844,3761.9500000000003,282.15000000000003,2,-25.14,-0.4121311475409836,-3.65,0,16.295081967213115,0,96,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,1.000000000000071,3725.068137281367,4
283,33,35.31666666666667,1,186,99.18383333333334,5951.03,910.51,1.5,-69.74,-1.1623333333333332,-50.82,0,24.65,0,164,25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,0.9986717472614955,5201.761211239884,4
289,32,31.47457627118644,1,287,72.09186440677968,4253.420000000001,489.10000000000025,0.6900000000000001,-1.6,-0.02711864406779661,-1,0,19.966101694915253,0,223,45-54,B,100-124K,Homeowner,Single Male,1,None/Unknown,0.9940439524739018,2639.5758705486046,2
290,31,64.65,0,667,92.32166666666666,5539.299999999999,610.6899999999999,0,-4,-0.06666666666666667,-2,0,26.516666666666666,0,252,25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,0.9999230217519521,5443.093159715277,4
294,33,46.49230769230769,1,242,81.632,5306.08,370.94999999999965,-10.930000000000001,-60.27,-0.9272307692307692,-23.5,0,26.06153846153846,0,102,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,0.9999266250196325,5215.788767997834,4
300,31,36.43103448275862,1,224,85.80913793103448,4976.93,693.17,4.03,-16.18,-0.2789655172413793,-14.63,0,19.120689655172413,1,105,55-64,A,Under 15K,Unknown,Single Female,2,None/Unknown,0.9803627097190384,1662.8161758071326,2
301,33,45,1,393,110.87507692307693,7206.88,572.9600000000003,2.69,-4.8,-0.07384615384615384,-2.5,0,30.49230769230769,0,183,35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,1,7136.2243137254845,1
302,29,13.462962962962964,1,89,32.72240740740741,1767.01,181.73000000000005,1.49,-0.5,-0.009259259259259259,-0.5,0,8.907407407407407,0,49,45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,0.9925830474548745,1004.5881264335775,2
304,33,53.8125,1,235,116.208125,7437.32,585.6200000000002,1.5,-6.5,-0.1015625,-5,0,30.09375,1,116,25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,1.000000000000135,7364.405098138631,1
306,34,46.890625,1,287,74.77375,4785.52,355.8400000000002,1.25,-136.51,-2.13296875,-19,0,22.5625,0,115,19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,1.000000000000071,4738.603137288568,4
309,27,22.41304347826087,1,115,50.4258695652174,2319.59,202.51000000000002,1,-6,-0.13043478260869565,-2.5,0,14.065217391304348,1,51,25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown,0.9689206360610922,559.1247529987187,2
314,30,32.388888888888886,1,396,55.77425925925926,3011.81,299.8200000000001,2.5,0,0,0,0,15.351851851851851,0,133,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,0.9997259815222025,2902.7419577112883,2
317,33,38.734375,1,126,94.52953125,6049.89,355.24999999999994,0.75,-42.09,-0.65765625,-4.82,0,24.15625,0,84,45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown,0.9999346520773879,5951.68433222575,4
319,32,29.322033898305083,1,145,53.92949152542373,3181.84,233.6499999999999,1.44,-6.8,-0.1152542372881356,-3.75,0,12.525423728813559,0,68,45-54,U,35-49K,Homeowner,1 Adult Kids,4,3+,0.9927178479713931,1823.0631723299573,2
